Observation,TextUrn,Image,Comments
urn:cite:op:2016A.1,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ῦ,"urn:cite:hmt:vaimg.VA310VN-0812@0.494,0.6284,0.017,0.021",
urn:cite:op:2016A.2,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@τ,"urn:cite:hmt:vaimg.VA310VN-0812@0.511,0.6344,0.009,0.0135",
urn:cite:op:2016A.3,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ο,"urn:cite:hmt:vaimg.VA310VN-0812@0.519,0.6359,0.007,0.0075",
urn:cite:op:2016A.4,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@δ,"urn:cite:hmt:vaimg.VA310VN-0812@0.525,0.6284,0.022,0.0188",
urn:cite:op:2016A.5,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ἀ,"urn:cite:hmt:vaimg.VA310VN-0812@0.545,0.6276,0.013,0.0158",
urn:cite:op:2016A.6,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@γ,"urn:cite:hmt:vaimg.VA310VN-0812@0.552,0.6351,0.009,0.015",
urn:cite:op:2016A.7,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ω,"urn:cite:hmt:vaimg.VA310VN-0812@0.559,0.6351,0.016,0.009",
urn:cite:op:2016A.8,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ν,"urn:cite:hmt:vaimg.VA310VN-0812@0.574,0.6329,0.012,0.0165",
urn:cite:op:2016A.9,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@λ,"urn:cite:hmt:vaimg.VA310VN-0812@0.593,0.6329,0.015,0.015",
urn:cite:op:2016A.10,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@α,"urn:cite:hmt:vaimg.VA310VN-0812@0.61,0.6359,0.011,0.009",
urn:cite:op:2016A.11,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ο[2],"urn:cite:hmt:vaimg.VA310VN-0812@0.6207,0.6353,0.0081,0.0086",
urn:cite:op:2016A.12,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ὶ,"urn:cite:hmt:vaimg.VA310VN-0812@0.628,0.6286,0.0081,0.0154",
urn:cite:op:2016A.13,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@δ,"urn:cite:hmt:vaimg.VA310VN-0812@0.6367,0.6283,0.0112,0.0159",
urn:cite:op:2016A.14,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ὲ,"urn:cite:hmt:vaimg.VA310VN-0812@0.6479,0.6279,0.0171,0.0172",
urn:cite:op:2016A.15,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@θ,"urn:cite:hmt:vaimg.VA310VN-0812@0.6625,0.6322,0.0163,0.0144",
urn:cite:op:2016A.16,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ο[3],"urn:cite:hmt:vaimg.VA310VN-0812@0.6777,0.6358,0.007,0.0083",
urn:cite:op:2016A.17,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@α[2],"urn:cite:hmt:vaimg.VA310VN-0812@0.6873,0.6358,0.0127,0.0081",
urn:cite:op:2016A.18,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@σ,"urn:cite:hmt:vaimg.VA310VN-0812@0.6986,0.6353,0.0139,0.0087",
urn:cite:op:2016A.19,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ἐπ,"urn:cite:hmt:vaimg.VA310VN-0812@0.7144,0.6244,0.0214,0.0243",
urn:cite:op:2016A.20,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ὶ[2],"urn:cite:hmt:vaimg.VA310VN-0812@0.7353,0.623,0.0108,0.0216",
urn:cite:op:2016A.21,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ν,"urn:cite:hmt:vaimg.VA310VN-0812@0.7444,0.6344,0.0144,0.0108",
urn:cite:op:2016A.22,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ῆ,"urn:cite:hmt:vaimg.VA310VN-0812@0.7598,0.6266,0.0115,0.0193",
urn:cite:op:2016A.23,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@α[3],"urn:cite:hmt:vaimg.VA310VN-0812@0.7723,0.6349,0.0113,0.0074",
urn:cite:op:2016A.24,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@σ[2],"urn:cite:hmt:vaimg.VA310VN-0812@0.7831,0.6324,0.0139,0.0103",
urn:cite:op:2016A.25,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ἑ,"urn:cite:hmt:vaimg.VA310VN-0812@0.798,0.6234,0.0125,0.0213",
urn:cite:op:2016A.26,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@κ,"urn:cite:hmt:vaimg.VA310VN-0812@0.8112,0.6318,0.0139,0.0133",
urn:cite:op:2016A.27,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@α[4],"urn:cite:hmt:vaimg.VA310VN-0812@0.8253,0.6354,0.0127,0.0076",
urn:cite:op:2016A.28,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@στ,"urn:cite:hmt:vaimg.VA310VN-0812@0.8371,0.6342,0.0125,0.0097",
urn:cite:op:2016A.29,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ο[4],"urn:cite:hmt:vaimg.VA310VN-0812@0.8486,0.6338,0.006,0.0085",
urn:cite:op:2016A.30,urn:cts:greekLit:tlg0012.tlg001.msA:24.1@ι,"urn:cite:hmt:vaimg.VA310VN-0812@0.8541,0.6336,0.0048,0.0092",
urn:cite:op:2016A.31,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@η,"urn:cite:hmt:vaimg.VA311RN-0481@0.2321,0.1966,0.012,0.0157",
urn:cite:op:2016A.32,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ι,"urn:cite:hmt:vaimg.VA311RN-0481@0.2429,0.2034,0.0076,0.0079",
urn:cite:op:2016A.33,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ρ,"urn:cite:hmt:vaimg.VA311RN-0481@0.2527,0.2022,0.0065,0.0128",
urn:cite:op:2016A.34,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ε,"urn:cite:hmt:vaimg.VA311RN-0481@0.2627,0.2019,0.0074,0.0094",
urn:cite:op:2016A.35,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ι[2],"urn:cite:hmt:vaimg.VA311RN-0481@0.27,0.2026,0.0045,0.0101",
urn:cite:op:2016A.36,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@π,"urn:cite:hmt:vaimg.VA311RN-0481@0.279,0.2031,0.0174,0.0093",
urn:cite:op:2016A.37,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@α,"urn:cite:hmt:vaimg.VA311RN-0481@0.2966,0.2043,0.0096,0.0078",
urn:cite:op:2016A.38,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ν,"urn:cite:hmt:vaimg.VA311RN-0481@0.3066,0.2031,0.008,0.0109",
urn:cite:op:2016A.39,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@δ,"urn:cite:hmt:vaimg.VA311RN-0481@0.3108,0.1945,0.016,0.0181",
urn:cite:op:2016A.40,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@α[2],"urn:cite:hmt:vaimg.VA311RN-0481@0.3262,0.203,0.0092,0.0082",
urn:cite:op:2016A.41,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@μ,"urn:cite:hmt:vaimg.VA311RN-0481@0.3365,0.2026,0.0131,0.0135",
urn:cite:op:2016A.42,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@α[3],"urn:cite:hmt:vaimg.VA311RN-0481@0.349,0.2046,0.0125,0.0089",
urn:cite:op:2016A.43,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@τ,"urn:cite:hmt:vaimg.VA311RN-0481@0.3608,0.2041,0.0094,0.0104",
urn:cite:op:2016A.44,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ω,"urn:cite:hmt:vaimg.VA311RN-0481@0.3692,0.2039,0.0114,0.008",
urn:cite:op:2016A.45,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ρ[2],"urn:cite:hmt:vaimg.VA311RN-0481@0.3811,0.2043,0.0076,0.0128",
urn:cite:op:2016A.46,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@α[4],"urn:cite:hmt:vaimg.VA311RN-0481@0.3947,0.2043,0.0172,0.009",
urn:cite:op:2016A.47,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@λλ,"urn:cite:hmt:vaimg.VA311RN-0481@0.4076,0.2024,0.0212,0.0121",
urn:cite:op:2016A.48,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@εστ,"urn:cite:hmt:vaimg.VA311RN-0481@0.4284,0.1994,0.0209,0.0154",
urn:cite:op:2016A.49,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ρ[3],"urn:cite:hmt:vaimg.VA311RN-0481@0.4495,0.2054,0.0082,0.0125",
urn:cite:op:2016A.50,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ε[2],"urn:cite:hmt:vaimg.VA311RN-0481@0.46,0.2049,0.0058,0.0083",
urn:cite:op:2016A.51,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@φ,"urn:cite:hmt:vaimg.VA311RN-0481@0.4673,0.1989,0.0092,0.0213",
urn:cite:op:2016A.52,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ετ,"urn:cite:hmt:vaimg.VA311RN-0481@0.4774,0.2035,0.0164,0.0122",
urn:cite:op:2016A.53,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ε[3],"urn:cite:hmt:vaimg.VA311RN-0481@0.4957,0.2036,0.0099,0.0108",
urn:cite:op:2016A.54,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@ν[2],"urn:cite:hmt:vaimg.VA311RN-0481@0.5045,0.206,0.0133,0.0102",
urn:cite:op:2016A.55,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@θ,"urn:cite:hmt:vaimg.VA311RN-0481@0.5167,0.2028,0.0096,0.0116",
urn:cite:op:2016A.56,urn:cts:greekLit:tlg0012.tlg001.msA:24.5@α[4],"urn:cite:hmt:vaimg.VA311RN-0481@0.5251,0.2058,0.0136,0.0077",
